iter	Passed	Remaining
941	10625	654
942	10635	642
943	10644	631
944	10654	620
945	10664	608
946	10673	597
947	10684	586
948	10692	574
949	10702	563
950	10710	551
951	10722	540
952	10731	529
953	10741	517
954	10758	506
955	10769	495
956	10777	484
957	10787	472
958	10800	461
959	10811	450
960	10821	439
961	10831	427
962	10841	416
963	10850	405
964	10861	393
965	10871	382
966	10881	371
967	10892	360
968	10902	348
969	10913	337
970	10926	326
971	10941	315
972	10956	304
973	10967	292
974	10981	281
975	10992	270
976	11000	258
977	11010	247
978	11020	236
979	11030	225
980	11040	213
981	11052	202
982	11061	191
983	11071	180
984	11082	168
985	11093	157
986	11101	146
987	11112	134
988	11122	123
989	11134	112
990	11145	101
991	11154	89
992	11167	78
993	11178	67
994	11194	56
995	11203	44
996	11215	33
997	11225	22
998	11240	11
999	11249	0
